type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,01,0,10,21.32,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,10,20,25.81,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,20,30,30.37,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,30,40,34.84,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,40,50,39.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,50,60,44.24,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,60,70,48.96,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,70,80,53.39,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,80,90,58.99,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,90,100,63.07,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,100,250,63.07,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,250,500,26.52,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,01,500,1000,22.38,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,0,10,11.96,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,10,20,12.8,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,20,30,14.51,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,30,40,14.51,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,40,50,16.19,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,50,60,16.19,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,60,70,17.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,70,80,17.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,80,90,18.14,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,90,100,18.14,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,100,250,16.56,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,250,500,16.56,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,02,500,1000,16.56,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,0,10,15.45,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,10,20,17.1,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,20,30,21.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,30,40,23.86,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,40,50,26.56,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,50,60,28.92,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,60,70,33.68,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,70,80,36.39,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,80,90,38.04,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,90,100,40.99,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,100,250,40.56,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,250,500,31.9,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,03,500,1000,30.24,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,0,10,25.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,10,20,30.06,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,20,30,34.75,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,30,40,39.43,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,40,50,47.0,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,50,60,51.65,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,60,70,59.37,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,70,80,64.05,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,80,90,71.66,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,90,100,76.04,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,100,250,76.04,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,250,500,70.82,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,04,500,1000,63.45,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,0,10,25.2,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,10,20,29.73,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,20,30,34.2,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,30,40,38.69,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,40,50,46.12,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,50,60,50.67,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,60,70,58.18,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,70,80,62.66,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,80,90,70.14,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,90,100,74.35,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,100,250,74.35,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,250,500,70.82,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,05,500,1000,63.45,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,0,10,22.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,10,20,28.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,20,30,34.55,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,30,40,40.61,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,40,50,46.68,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,50,60,52.77,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,60,70,53.82,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,70,80,59.47,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,80,90,65.72,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,90,100,71.82,forfait,,,,SIFA 010126 - P U.xlsx
