# Catégories proposées — relisez, corrigez, puis :
#   python3 scripts/categoriser_fournisseurs.py --appliquer
# (ce CSV est un rapport de relecture, le script relit la base)
#
# id;nom;categories;source
30;AAC Computer;autre;nom
37;ABSOFT;autre;nom
38;ABZAC;mandrin;nom
39;ACCENT Labels & Packaging;carton,sous_traitant;nom
42;ACCESS PRINTING SOLUTION;sous_traitant;nom
40;ACCESS-IT;autre;nom
45;ACTEBIS;autre;nom
47;ADECCO;autre;nom
50;ADEZIF NORD;adhesif;nom
51;ADLEY ADHESIVES;adhesif;nom
53;AFFRETOO;autre;nom
55;ALLPACK TUPACK;carton;nom
58;Alternative packaging;carton;nom
59;AMAZON;autre;nom
60;Antalis;frontal;nom
134;ARCONVERT S.A;frontal;nom
63;ARJOBEX Synthetic Papers;frontal;nom
67;Autour du bureau;autre;nom
74;B.S SYNERGIE ETIQUETTES;sous_traitant;nom
68;BARCODIS;autre;nom
70;Beyond Adhesives Ltd;adhesif;nom
71;Bluestar Europe Distribution;negoce;nom
73;BRENNTAG SA;adhesif;nom
75;BURBAN PALETTES;palette;nom
77;Cartonnages Auguste PAULET;carton;nom
76;Cartonnages du Nord;carton;nom
78;CEVENNES ETIQUETTES;sous_traitant;nom
79;CHECKPOINT;autre;nom
80;COREX;mandrin;nom
81;CROWN VAN GELBER;frontal;nom
82;DAETWYLER-HELL;autre;nom
84;DIATECX;autre;nom
202;E&P CONSULT;autre;nom
86;EMBALTEC;carton;nom
88;ERP ASSOCIES;autre;nom
91;Ester INdustries Ltd.;frontal;nom
93;ETICZEN;sous_traitant;nom
94;ETIFLEX;sous_traitant;nom
95;ETIKSERVICES;sous_traitant;nom
100;Etiquettes Pierre Foucher;sous_traitant;nom
96;FLEXCON;frontal;nom
98;FOCUS HOTMELT EUROPE Sp. z o.o.;adhesif;nom
29;FRANCE EXPRESS;autre;nom
102;GENERIQUE;autre;nom
105;GIPAKO;mandrin;nom
106;GREEN LASER - CARTOUCHE DIFFUSION;negoce;nom
175;GUANGZHOU SHINE LABEL MATERIALS CO.LTD;sous_traitant;nom
107;HANGZOU CODEWEL NEX MATERIAL Co.,Ltd;frontal;nom
110;HONORE RECUPERATION;autre;nom
112;IMPRIMERIE FEYS;sous_traitant;nom
113;INAPA France;frontal;nom
116;JARLTECH FRANCE;autre;nom
119;JOYE KARTONNAGE NV;carton;nom
121;JPG;autre;nom
122;Jujo Thermal Ltd;frontal;nom
12;Kanzan;frontal;nom
120;KARTONNAGE JOYE POLSKA SP. Z O.O.;carton;nom
124;KARTONNAGE LEFEVERE BEEL;carton;nom
125;KOCHER + BECK GMBH & CO.;autre;nom
126;KPM Analytics North America Corporation;autre;nom
127;KPN ANALYTICS;autre;nom
87;L'EPERON IMPRIMERIE;sous_traitant;nom
128;LABELMATE BV;sous_traitant;nom
131;LGP PACKAGING;carton;nom
56;Mandriladora Alpesa S.L.;mandrin;nom
135;Maxi Palette;palette;nom
136;MELTAVIS GmbH;adhesif;nom
138;MILLER GRAPHICS LIMOGES SAS;sous_traitant;nom
15;Mitsubishi;frontal;nom
139;MONDI HILM;frontal;nom
140;MONDI JULICH;frontal;nom
146;OndulExpress;carton;nom
147;ONDULYS GHEYSENS;carton;nom
148;Pack discount - Monceau diffusion;carton;nom
151;PERFORMANCES DIFFUSION;negoce;nom
152;PHENIX LABELS;sous_traitant;nom
153;PHOENIX RELEASE BV;glassine;nom
154;PPI Adhesive Products Limited;adhesif;nom
155;QRT Graphique;sous_traitant;nom
156;RAJA;autre;nom
157;RECYL GRAPHICS;sous_traitant;nom
17;Ricoh;frontal;nom
