Cohésio 1,,,,,,,,,,,,,,,,,,,,,,,,,,
client,EPROC,MAZET,MAITRE COQ,MAITRE COQ,MAITRE COQ,CARSO,PONT D'AIN,ITW BAILLY,ITW,FLORETTE,EURODISLOG,ZETES,SNV,SNV,SNV,SNV,TRADIVAL,TRADIVAL,XEROX,SNV,SNV,SNV,INGREDIA,LYRECO,NESTLE MARCONNELLE,NESTLE MARCONNELLE
numero of,OF 9931525,9931523,Marché 735,Marché 734,,,9931594,OF Marché 712,Marché 729,OF 9921493- L1,OF 9931570,OF 9931600 + STock,,OF 1153/0027,,,Marché 751 - L1 à L7,OF Réliquat Marché 707,OF Reliquat 9931595,,,,OF 9931571,OF 28/11/25 - 487/0010,OF Reliquat Marché 722 - Fab 1/2 pour 6 liv,OF Marché 722/1
ref produit,953/0010,504/0038,1068/0003,1068/0002,1068/0001,961/0001 - 09/03/26,1013/0249,973/0028,973/0037,293/0030,1027/0009,60*50 mm,1153/0030,1153/0027,1153/0005 box 256 000,1153/0005 box 510 000,501/0003/0004/0005/0006/0007/0008/0009,501/0002,890/0079,1153/0010,1153/0009,1153/0024,891/0004,158 x 60 mm,931/0005,931/0002
format,"102,5*72", 100*124,68*148,68*148,68*148,68x98mm,50*60,74 *210 mm,96*210,"103,25*65,80",100*150,372/0437,66*140,66*140,66*140,66*140,79*161,79*161 mm,75*52 mm,65*65,65*65,65*65,148*210,487/0010,80*149 mm,148*209 mm
laize,L440bob,L440bob,L510 Bob,L510 Bob,L510bob,L510bob,L510 Bob,L 510 pli,l440pli -,L440bob,L440bob,L470bob,L510bob,L510bob,L510bob,L510bob,L510bob,L510Bob,L510bob,L510bob,L510bob,L510bob,L470bob,L510bob,L510bob,L470bob
date livraison,A livrer le 07/04,07/04/2026,A livrer le 13/04,A dispo 16/04,Stock,A livrer le 27/03 (Acompte déjà livré) et le 27/04,A livrer le 20/04,A livrer le 20/04 + Stock,A dispo sur appel,A livrer le 22/04,Liv 24/04,A livrer le 30/04/2026,A livrer le 08/04 (partiel déjà livré),A livrer 10/06,A livrer le 05/06,Stock,"A livrer probablement le 30/04 (en attente de Guillaume, le visuel devrait changer)",A livrer le 15/05,A Livrer à partir de S16,A livrer le 12/05,,Stock,A livrer le 30/04,Stock,Stock,Mise à dispo pr appel
dureée,8,4,6,10,14,8,8,6,5,6,7,9,6,8,12,9,30,15,20,6,12,4,6,7,25,6
commentaire,,,,,,,,,,,,,,,,,,,Repiquage,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohésio 2,,,,,,,,,,,,,,,,,,,,,,,,,,
client,EP CONSULT,XEROX,SCHENKER (DSV),Tempolog 71,TEMPOLOG 89,TEMPOLOG 84,SODEBO,Bouvard,Bouvard,SCALANDES,ALCYON LANDERNEAU,PROLIANS,SNV OF 1153/0019 - 18/03/26,PROSOL GESTION,SCHISLER,Empacabois,WEPA,STACI/PUBLIDISPATCH,LYRECO,BOUVARD,GLS + SONOVENTE,,,,,
numero of,OF 9930978,OF Reliquat 9930724 - 2E CADENCE,OF 9931563,OF 9931194 Reliquat,OF 9931322,OF 9931353,,"OF Solde M,650 + M.718/3 - 1ere cadence",M.718/3 box - 1ere cadence,OF 9931497,9931506,Marché 710,,OF 9931576,OF Marché 724+9931298,OF 9931302 - L2,OF MARCHE 723 (ARC 9931286),OF Marché 725,OF 28/11/2025 - STOCK,OF Marché 718/2,OF marché 699 - cadence 4 + sonovente,,,,,
ref produit,245/0123 Bicolore,890/0017,623/0021,332/0004,925/0006,332/0015,90 x 55 mm,83/0005,83/0005,621/0032,24/0023,1254/0002,1153/0019,1013/0068,923/0009,"106 x 152,4 mm",738/0018,1027/0005,487/0005,83/0004,324/0003,,,,,
format,80*40 mm,102*125 mm,110*150,103 x 72 mm,"103 x 72,2 mm (","103 x 72,2 mm",,105*148 mm,105*148 mm,110*150 mm,85x51,105x250,87*50,55*83 mm,"100*148,8 mm",1027/0001,135*70 mm,110*180 mm,85*127 mm,"148*415,5 mm","101x152,4 mm",,,,,
laize,L510bob,L530bob,Laize 470 pli,L470pli,L47bob,L470bob,L570bob,L570bob,L570bob,L570bob,L470pli ,L470pli,L570bob,L530bob,L530Bob,L570bob,L570bob,L570bob,L570bob,L470pli,L530bob,,,,,
date livraison,A livrer le 03/04,A livrer le 10/04,A livrer le 03/04,A livrer au plus vite,A livrer le 26/03,A livrer le 26/03,,A livrer le 09/04,STOCK,A livrer le 20/04, A livrer le 15/04,Stock,A LIVRER 05/05,A livrer 1ére sem de mai,Appel le 21/05,A livrer le 26/05,A livrer le 04/06,A livrer le 01/09/2026,A dispo pour appel,STOCK,A dispo pour appel,,,,,
dureée,7,29,7,7,7,6,5,19,8,29,4,8,19,48,16,23,11,13,14,12,20,,,,,
commentaire,,,,,,,,,,,Attente BAT/ COLLE 1408,COLLE 1408,,,,,,,,,,,,,,
