transporteur,type_envoi,base_calcul,zone_type,zone_valeur,dept_label,tranche_min,tranche_max,prix,unite,mini_perception,source_filename
Compte 100346,messagerie,poids,departement,01,AIN,0,10.0,21.32,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,10,20.0,25.81,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,20,30.0,30.37,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,30,40.0,34.84,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,40,50.0,39.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,50,60.0,44.24,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,60,70.0,48.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,70,80.0,53.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,80,90.0,58.99,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,90,100.0,63.07,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,100,250.0,63.07,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,250,500.0,26.52,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,01,AIN,500,1000.0,22.38,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,0,10.0,11.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,10,20.0,12.8,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,20,30.0,14.51,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,30,40.0,14.51,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,40,50.0,16.19,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,50,60.0,16.19,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,60,70.0,17.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,70,80.0,17.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,80,90.0,18.14,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,90,100.0,18.14,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,100,250.0,16.56,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,250,500.0,16.56,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,02,AISNE,500,1000.0,16.56,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,0,10.0,15.45,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,10,20.0,17.1,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,20,30.0,21.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,30,40.0,23.86,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,40,50.0,26.56,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,50,60.0,28.92,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,60,70.0,33.68,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,70,80.0,36.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,80,90.0,38.04,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,90,100.0,40.99,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,100,250.0,40.56,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,250,500.0,31.9,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,03,ALLIER,500,1000.0,30.24,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),0,10.0,25.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),10,20.0,30.06,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),20,30.0,34.75,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),30,40.0,39.43,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),40,50.0,47.0,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),50,60.0,51.65,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),60,70.0,59.37,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),70,80.0,64.05,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),80,90.0,71.66,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),90,100.0,76.04,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),100,250.0,76.04,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),250,500.0,70.82,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,04,ALPES (HTE-PROVENCE),500,1000.0,63.45,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),0,10.0,25.2,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),10,20.0,29.73,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),20,30.0,34.2,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),30,40.0,38.69,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),40,50.0,46.12,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,05,ALPES (HAUTES),50,60.0,50.67,forfait,,SIFA 010126 - P U-1.xlsx
