reference_originale;ref_produit_norm;machine;laize_mm;conditionnement_norm
1003/0007 - COHESIO 1;1003/0007;Cohésio 1;;
1003/0013 - COHESIO 1;1003/0013;Cohésio 1;;
1003/0014 - COHESIO 1;1003/0014;Cohésio 1;;
1004/0001;1004/0001;;;
1004/0002;1004/0002;;;
1004/0019;1004/0019;;;
1004/0022;1004/0022;;;
1004/0028 - COHESIO 1;1004/0028;Cohésio 1;;
1004/0031;1004/0031;;;
1004/0032;1004/0032;;;
1004/0033;1004/0033;;;
1004/0034;1004/0034;;;
1004/0035;1004/0035;;;
1004/0036;1004/0036;;;
1004/0040;1004/0040;;;
1004/0041;1004/0041;;;
1004/0043 - COHESIO1;1004/0043;Cohésio 1;;
1004/0044 - COHESIO1;1004/0044;Cohésio 1;;
1004/0045 - COHESIO1;1004/0045;Cohésio 1;;
1004/0046 - COHESIO1;1004/0046;Cohésio 1;;
1004/0053 - COHESIO1 - L510;1004/0053;Cohésio 1;510;
1004/0054 - COHESIO1 - L510;1004/0054;Cohésio 1;510;
1004/0055 - COHESIO1 - L510;1004/0055;Cohésio 1;510;
1004/0056 - COHESIO1 - L510;1004/0056;Cohésio 1;510;
1004/0066;1004/0066;;;
1004/0078 - Laize 333 mm;1004/0078;;333;
1004/0080 - L440;1004/0080;;440;
1004/0081 - L440;1004/0081;;440;
1004/0082 - L440;1004/0082;;440;
1004/0083 - L440;1004/0083;;440;
1004/0084 - L440;1004/0084;;440;
1004/0085 - L440;1004/0085;;440;
1004/0086 - L440;1004/0086;;440;
1004/0087 - L440;1004/0087;;440;
1004/0088 - L440;1004/0088;;440;
1004/0089 - L440;1004/0089;;440;
1004/0115;1004/0115;;;
1004/0116 - COHESIO1 - L510;1004/0116;Cohésio 1;510;
1004/0118 - DSI;1004/0118;DSI;;
1004/0128-COHESIO1;1004/0128;Cohésio 1;;
1004/0131 - Laize 440;1004/0131;;440;
1004/0132 - Laize 440;1004/0132;;440;
1004/0133 - Laize 440;1004/0133;;440;
1004/0134 - Laize 440;1004/0134;;440;
1004/0138 - Laize 440;1004/0138;;440;
1004/0141;1004/0141;;;
1004/0142;1004/0142;;;
1004/0143;1004/0143;;;
