id,date_operation_originale
501,2026-04-17T06:49:11
502,2026-04-17T06:52:15
503,2026-04-17T09:23:53
504,2026-04-17T09:24:33
505,2026-04-17T09:30:41
506,2026-04-17T11:25:29
507,2026-04-17T14:53:59
508,2026-04-18T05:00:00
509,2026-04-18T05:01:00
510,2026-04-18T05:02:00
511,2026-04-18T07:01:00
512,2026-04-18T08:57:00
513,2026-04-18T08:57:49
514,2026-04-20T02:59:45
515,2026-04-20T03:00:00
516,2026-04-20T03:04:33
517,2026-04-20T03:49:00
518,2026-04-20T03:54:52
519,2026-04-20T04:09:00
520,2026-04-20T04:11:00
521,2026-04-20T04:14:27
522,2026-04-20T06:23:42
523,2026-04-20T06:32:00
524,2026-04-20T08:30:55
525,2026-04-20T08:36:17
526,2026-04-20T08:37:00
